ingredient,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g
amaranth_seed_black_amaranthus_cruentus,356.11,14.59,59.98,5.74,7.02
amaranth_seed_pale_brown_amaranthus_cruentus,355.87,13.27,61.46,5.56,7.47
bajra_pennisetum_typhoideum,347.98,10.96,61.78,5.43,11.49
barley_hordeum_vulgare,315.72,10.94,61.29,1.3,15.64
jowar_sorghum_vulgare,334.12,9.97,67.68,1.73,10.22
maize_dry_zea_mays,334.12,8.8,64.77,3.77,12.24
maize_tender_local_zea_mays,119.98,3.57,22.69,1.4,3.67
maize_tender_sweet_zea_mays,96.8,4.16,16.42,1.35,3.3
quinoa_chenopodium_quinoa,328.39,13.11,53.65,5.5,14.66
ragi_eleusine_coracana,320.74,7.16,66.82,1.92,11.18
rice_flakes_oryza_sativa_,353.72,7.44,76.75,1.14,3.46
rice_puffed_oryza_sativa_,361.85,7.47,77.68,1.62,2.56
rice_raw_brown_oryza_sativa_,353.72,9.16,74.8,1.24,4.43
rice_parboiled_milled_oryza_sativa_,351.57,7.81,77.16,0.55,3.74
rice_raw_milled_oryza_sativa_,356.35,7.94,78.24,0.52,2.81
samai_panicum_miliare,346.31,10.13,65.55,3.89,7.72
varagu_paspalum_scrobiculatum,331.73,8.92,66.19,2.55,6.39
wheat_flour_refined_triticum_aestivum,351.81,10.36,74.27,0.76,2.76
wheat_flour_atta_triticum_aestivum,320.26,10.57,64.17,1.53,11.36
wheat_whole_triticum_aestivum,321.93,10.59,64.72,1.47,11.23
wheat_bulgur_triticum_aestivum,341.77,10.84,69.06,1.45,8.81
wheat_semolina_triticum_aestivum,333.64,11.38,68.43,0.74,9.72
wheat_vermicelli_triticum_aestivum,332.69,9.7,70.39,0.45,9.28
wheat_vermicelli_roasted_triticum_aestivum,340.1,10.37,71.42,0.49,9.55
foxtail_millet_italian_millet,331,12.3,60.9,4.3,8
proso_millet_panivaragu,341,12.5,70.4,1.1,2.2
rice_parboiled_handpounded,349,8.5,77.4,0.6,0
rice_raw_handpounded,346,7.5,76.7,1,0.6
rice_bran,393,13.5,48.4,16.2,4.3
barnyard_millet_sanwa_millet,307,6.2,65.5,2.2,9.8
wheat_germ,397,29.2,53.3,7.4,1.4
bamboo_seeds,367,13.1,75.9,1.2,0.9
banti,271,8.3,74.7,4.3,0
buckwheat,323,10.3,65.1,2.4,8.6
chenopodium_album_seeds,0,14.4,0,7.3,0
cowage_seed_flour,398,28.2,55.6,7,2.2
daincha_seeds,327,28.1,45.1,3.8,8.6
jobs_tears,378,17.5,63.4,6,0.5
oatmeal,374,13.6,62.8,7.6,3.5
kittul_flour,339,2.4,81.7,0.3,0
lotus_seed,346,17.2,64,2.4,2.6
makhana,347,9.7,76.9,0.1,0
rajkeera_seeds,364,16.5,62.7,5.3,2.7
water_lily_seeds,345,8.3,75.6,1,4.2
breakfast_cereal_crunchy_clusters_type_without_nuts_unfortified,399,7.2,71,11.6,7.2
couscous_plain_raw,364,12,79.2,2.1,3.7
flour_corn,354,0.6,92,0.7,0
flour_gram,353,22.7,57,5.4,10.1
flour_rice,366,6.4,80.1,0.8,0
pasta_white_dried_raw,343,11.3,75.6,1.6,0
porridge_oats_unfortified,381,10.9,70.7,8.1,7.8
black_rice,372,11.6,79.1,3.49,4.7
cracked_wheat,350,12.5,75,1.25,12.5
